feature;model;dataset;rank
0_swa;xgb;email-Eu;9
17_swh;xgb;email-Eu;10
23_swa;xgb;email-Eu;11
19_swa;xgb;email-Eu;12
lifetime_two_edges;xgb;email-Eu;13
14_swh;xgb;email-Eu;14
19_swg;xgb;email-Eu;15
12_swa;xgb;email-Eu;16
20_swh;xgb;email-Eu;17
7_swh;xgb;email-Eu;18
10_swa;xgb;email-Eu;19
lifetime_one_edge;xgb;email-Eu;20
21_swa;lr;contact-high-school;1
2_swa;lr;contact-high-school;2
4_swh;lr;contact-high-school;3
degree_balance;lr;contact-high-school;4
10_swa;lr;contact-high-school;5
weight_reinforcement;lr;contact-high-school;6
16_swa;lr;contact-high-school;7
timescale_density_balance;lr;contact-high-school;8
19_swh;lr;contact-high-school;9
8_swa;lr;contact-high-school;10
22_swg;lr;contact-high-school;11
degree_reinforcement;lr;contact-high-school;12
14_swa;lr;contact-high-school;13
9_swh;lr;contact-high-school;14
weight_balance;lr;contact-high-school;15
17_swa;lr;contact-high-school;16
20_swh;lr;contact-high-school;17
14_swh;lr;contact-high-school;18
6_swg;lr;contact-high-school;19
9_swa;lr;contact-high-school;20
weight_reinforcement;rf;contact-high-school;1
2_swa;rf;contact-high-school;2
18_swg;rf;contact-high-school;3
timescale_density_balance;rf;contact-high-school;4
18_swh;rf;contact-high-school;5
8_swh;rf;contact-high-school;6
degree_balance;rf;contact-high-school;7
4_swh;rf;contact-high-school;8
3_swh;rf;contact-high-school;9
8_swg;rf;contact-high-school;10
8_swa;rf;contact-high-school;11
6_swg;rf;contact-high-school;12
24_swa;rf;contact-high-school;13
23_swa;rf;contact-high-school;14
4_swg;rf;contact-high-school;15
1_swh;rf;contact-high-school;16
22_swa;rf;contact-high-school;17
1_swg;rf;contact-high-school;18
17_swa;rf;contact-high-school;19
6_swh;rf;contact-high-school;20
weight_reinforcement;xgb;contact-high-school;1
18_swg;xgb;contact-high-school;2
degree_balance;xgb;contact-high-school;3
3_swh;xgb;contact-high-school;4
18_swh;xgb;contact-high-school;5
weight_balance;xgb;contact-high-school;6
23_swa;xgb;contact-high-school;7
2_swa;xgb;contact-high-school;8
1_swg;xgb;contact-high-school;9
8_swh;xgb;contact-high-school;10
timescale_density_balance;xgb;contact-high-school;11
17_swa;xgb;contact-high-school;12
18_swa;xgb;contact-high-school;13
9_swh;xgb;contact-high-school;14
6_swg;xgb;contact-high-school;15
8_swg;xgb;contact-high-school;16
16_swa;xgb;contact-high-school;17
11_swa;xgb;contact-high-school;18
9_swa;xgb;contact-high-school;19
4_swh;xgb;contact-high-school;20
13_swa;lr;contact-primary-school;1
9_swa;lr;contact-primary-school;2
8_swg;lr;contact-primary-school;3
10_swa;lr;contact-primary-school;4
17_swa;lr;contact-primary-school;5
2_swa;lr;contact-primary-school;6
13_swg;lr;contact-primary-school;7
weight_reinforcement;lr;contact-primary-school;8
8_swh;lr;contact-primary-school;9
timescale_density_balance;lr;contact-primary-school;10
lifetime_one_edge;lr;contact-primary-school;11
0_swa;lr;contact-primary-school;12
16_swh;lr;contact-primary-school;13
22_swh;lr;contact-primary-school;14
0_swg;lr;contact-primary-school;15
degree_reinforcement;lr;contact-primary-school;16
23_swa;lr;contact-primary-school;17
14_swh;lr;contact-primary-school;18
0_swh;lr;contact-primary-school;19
4_swh;lr;contact-primary-school;20
weight_reinforcement;rf;contact-primary-school;1
3_swa;rf;contact-primary-school;2
22_swh;rf;contact-primary-school;3
18_swa;rf;contact-primary-school;4
22_swg;rf;contact-primary-school;5
22_swa;rf;contact-primary-school;6
14_swa;rf;contact-primary-school;7
5_swa;rf;contact-primary-school;8
degree_reinforcement;rf;contact-primary-school;9
timescale_density_balance;rf;contact-primary-school;10
3_swg;rf;contact-primary-school;11
lifetime_two_edges;rf;contact-primary-school;12
14_swg;rf;contact-primary-school;13
13_swa;rf;contact-primary-school;14
9_swg;rf;contact-primary-school;15
10_swa;rf;contact-primary-school;16
0_swa;rf;contact-primary-school;17
13_swh;rf;contact-primary-school;18
5_swg;rf;contact-primary-school;19
0_swg;rf;contact-primary-school;20
weight_reinforcement;xgb;contact-primary-school;1
18_swa;xgb;contact-primary-school;2
lifetime_two_edges;xgb;contact-primary-school;3
timescale_density_balance;xgb;contact-primary-school;4
14_swa;xgb;contact-primary-school;5
degree_reinforcement;xgb;contact-primary-school;6
22_swa;xgb;contact-primary-school;7
22_swh;xgb;contact-primary-school;8
10_swa;xgb;contact-primary-school;9
3_swa;xgb;contact-primary-school;10
13_swg;xgb;contact-primary-school;11
13_swa;xgb;contact-primary-school;12
20_swa;xgb;contact-primary-school;13
9_swg;xgb;contact-primary-school;14
13_swh;xgb;contact-primary-school;15
weight_balance;xgb;contact-primary-school;16
12_swa;xgb;contact-primary-school;17
5_swa;xgb;contact-primary-school;18
2_swa;xgb;contact-primary-school;19
degree_balance;xgb;contact-primary-school;20
